code,branch_code,supplier_code,issue_date,total_cost,total_discount,total_fees,total_amount
4345,1,76,2014-08-11,0,0,0,119.030000
4346,1,76,2014-08-11,0,0,0,96.030000
4347,1,17,2014-08-11,0,0,0,44.320000
4348,1,131,2014-08-11,0,0,0,112.000000
4349,1,17,2014-08-11,0,0,0,1.260000
4350,1,17,2014-08-11,0,0,0,22.500000
4351,1,17,2014-08-11,0,0,0,67.500000
4352,1,17,2014-08-11,0,0,0,22.500000
4353,1,17,2014-08-11,0,0,0,9.990000
4354,1,17,2014-08-11,0,0,0,18.000000
4356,1,76,2014-08-11,0,0,0,4.340000
4357,1,17,2014-08-11,0,0,0,18.000000
4358,1,17,2014-08-11,0,0,0,121.500000
4359,1,17,2014-08-11,0,0,0,49.500000
4360,1,17,2014-08-11,0,0,0,15.300000
4361,1,17,2014-08-11,0,0,0,30.600000
4362,1,17,2014-08-11,0,0,0,32.400000
4363,1,17,2014-08-11,0,0,0,90.000000
4365,1,17,2014-08-11,0,0,0,88.200000
4366,1,53,2014-08-12,0,0,0,50.400000
4367,1,17,2014-08-12,0,0,0,93.600000
4368,1,91,2014-08-12,0,0,0,20.480000
4369,1,17,2014-08-12,0,0,0,68.400000
4370,1,264,2014-08-12,0,0,0,80.000000
4371,1,17,2014-08-12,0,0,0,11.700000
4372,1,53,2014-08-12,0,0,0,21.600000
4374,1,71,2014-08-12,0,0,0,320.000000
4375,1,132,2014-08-12,0,0,0,1023.420000
4376,1,17,2014-08-13,0,0,0,4.950000
4377,1,28,2014-08-13,0,0,0,574.200000
4378,1,17,2014-08-13,0,0,0,153.000000
4379,1,17,2014-08-13,0,0,0,81.000000
4380,1,17,2014-08-13,0,0,0,58.500000
4381,1,17,2014-08-13,0,0,0,10.800000
4382,1,53,2014-08-13,0,0,0,21.600000
4383,1,76,2014-08-13,0,0,0,19.990000
4384,1,139,2014-08-13,0,0,0,2.000000
4385,1,17,2014-08-13,0,0,0,75.600000
4386,1,119,2014-08-13,0,0,0,2395.090000
4387,1,17,2014-08-14,0,0,0,34.200000
4388,1,17,2014-08-14,0,0,0,96.300000
4389,1,17,2014-08-14,0,0,0,6.750000
4390,1,316,2014-08-14,0,0,0,1428.930000
4391,1,17,2014-08-14,0,0,0,9.450000
4392,1,34,2014-08-14,0,0,0,190.000000
4393,1,64,2014-08-14,0,0,0,442.000000
4394,1,17,2014-08-14,0,0,0,5.400000
4395,1,17,2014-08-14,0,0,0,11.700000
4396,1,17,2014-08-14,0,0,0,11.700000
4397,1,17,2014-08-15,0,0,0,67.500000
4398,1,91,2014-08-15,0,0,0,7.920000
4399,1,17,2014-08-15,0,0,0,10.800000
4401,1,345,2014-08-15,0,0,0,1029.590000
4402,1,71,2014-08-16,0,0,0,180.000000
4403,1,76,2014-08-18,0,0,0,38.850000
4404,1,91,2014-08-18,0,0,0,3.600000
4406,1,91,2014-08-18,0,0,0,3.600000
4407,1,17,2014-08-18,0,0,0,15.300000
4408,1,17,2014-08-18,0,0,0,10.800000
4409,1,17,2014-08-18,0,0,0,4.500000
4410,1,17,2014-08-18,0,0,0,68.400000
4411,1,344,2014-08-18,0,0,0,88.000000
4412,1,17,2014-08-18,0,0,0,13.500000
4413,1,17,2014-08-19,0,0,0,9.000000
4414,1,17,2014-08-19,0,0,0,13.500000
4415,1,17,2014-08-19,0,0,0,19.800000
4416,1,17,2014-08-19,0,0,0,5.040000
4417,1,322,2014-08-19,0,0,0,79.000000
4418,1,64,2014-08-20,0,0,0,211.000000
4419,1,64,2014-08-20,0,0,0,47.000000
4421,1,17,2014-08-20,0,0,0,0.900000
4422,1,17,2014-08-20,0,0,0,86.400000
4423,1,338,2014-08-20,0,0,0,1288.710000
