branch_code,payment_method_code,year,month,total_issued,total_paid
1,11,2019,3,1376.000000,0.000000
1,11,2019,4,1677.250000,0.000000
1,11,2019,5,1794.500000,0.000000
1,11,2019,6,2494.000000,0.000000
1,11,2019,7,1379.400000,0.000000
1,11,2019,8,3310.500000,0.000000
1,11,2019,9,2115.000000,0.000000
1,11,2019,10,650.000000,0.000000
1,11,2019,11,4965.000000,0.000000
1,11,2019,12,3644.000000,0.000000
1,11,2020,1,1655.550000,0.000000
1,11,2020,2,3356.500000,0.000000
1,11,2020,3,2693.500000,0.000000
1,11,2020,4,1824.000000,0.000000
1,11,2020,5,1097.000000,0.000000
1,11,2020,6,5471.000000,0.000000
1,11,2020,7,1770.750000,0.000000
1,11,2020,8,2920.900000,0.000000
1,11,2020,9,5975.000000,0.000000
1,11,2020,10,4920.250000,0.000000
1,11,2020,11,6638.750000,0.000000
1,11,2020,12,7132.730000,0.000000
1,11,2021,1,7011.500000,0.000000
1,11,2021,2,1110.000000,0.000000
1,11,2021,3,1352.000000,0.000000
1,11,2021,4,10440.000000,0.000000
1,11,2021,5,6054.500000,0.000000
1,11,2021,6,805.000000,0.000000
1,11,2021,7,8509.000000,0.000000
1,11,2021,8,3136.000000,0.000000
1,11,2021,9,4296.000000,0.000000
1,11,2021,10,6779.000000,0.000000
1,11,2021,11,2796.000000,0.000000
1,11,2021,12,2107.000000,0.000000
1,11,2022,1,1610.000000,0.000000
1,11,2022,2,2976.000000,0.000000
1,11,2022,3,3271.000000,0.000000
1,11,2022,4,1993.000000,0.000000
1,11,2022,5,3726.000000,0.000000
1,11,2022,6,550.000000,0.000000
1,11,2022,7,655.000000,0.000000
1,11,2022,8,4808.000000,0.000000
1,11,2022,9,4921.500000,0.000000
1,11,2022,10,1766.250000,0.000000
1,11,2022,11,4250.000000,0.000000
1,11,2022,12,1843.900000,0.000000
1,11,2023,1,984.000000,0.000000
1,11,2023,2,2672.000000,0.000000
1,11,2023,3,877.000000,0.000000
1,11,2023,4,495.000000,0.000000
1,11,2023,5,1947.000000,0.000000
1,11,2023,6,3516.000000,0.000000
1,11,2023,7,1650.600000,0.000000
1,11,2023,8,1630.000000,0.000000
1,11,2023,9,6853.500000,0.000000
1,11,2023,10,2090.000000,0.000000
1,11,2023,11,6512.000000,0.000000
1,11,2023,12,2960.000000,0.000000
1,11,2024,1,1757.000000,0.000000
1,11,2024,2,763.000000,0.000000
1,11,2024,3,1340.000000,0.000000
1,11,2024,4,1366.000000,0.000000
1,11,2024,5,1320.000000,0.000000
1,11,2024,6,385.000000,0.000000
1,11,2024,7,720.000000,0.000000
1,11,2024,8,2160.000000,0.000000
1,11,2024,9,2031.000000,0.000000
1,11,2024,10,41.000000,0.000000
1,11,2024,11,1467.000000,0.000000
1,11,2024,12,1807.000000,0.000000
1,11,2025,1,1612.000000,0.000000
1,11,2025,2,1206.000000,0.000000
1,11,2025,3,4390.000000,0.000000
1,11,2025,4,6744.000000,0.000000
1,11,2025,5,2145.000000,0.000000
1,11,2025,6,4414.000000,0.000000
1,11,2025,7,2259.000000,0.000000
1,11,2025,8,460.000000,0.000000
1,11,2025,9,1490.000000,0.000000
1,11,2025,11,360.000000,0.000000
1,11,2025,12,155.000000,0.000000
1,11,2026,2,2235.000000,0.000000
1,11,2026,3,600.000000,0.000000
1,11,2026,4,916.000000,0.000000
1,11,2026,5,1535.000000,0.000000
1,12,2018,8,150.000000,0.000000
1,12,2018,10,4008.000000,0.000000
1,12,2018,11,7893.000000,0.000000
1,12,2018,12,4824.000000,0.000000
1,12,2019,1,6159.000000,0.000000
1,12,2019,2,1650.000000,0.000000
1,12,2019,3,250.000000,0.000000
1,12,2019,4,2011.000000,0.000000
1,12,2019,5,645.000000,0.000000
1,12,2019,6,4100.000000,0.000000
1,12,2019,7,2635.000000,0.000000
1,12,2019,8,541.500000,0.000000
1,12,2019,9,1305.500000,0.000000
1,12,2019,10,2000.000000,0.000000
1,12,2019,11,5969.000000,0.000000
1,12,2019,12,300.000000,0.000000
1,12,2020,1,1160.000000,0.000000
1,12,2020,2,1486.900000,0.000000
1,12,2020,4,2248.000000,0.000000
1,12,2020,5,480.000000,0.000000
1,12,2020,6,3987.200000,0.000000
1,12,2020,7,3949.000000,0.000000
1,12,2020,8,4380.000000,0.000000
1,12,2020,9,3391.000000,0.000000
1,12,2020,10,4584.000000,0.000000
1,12,2020,11,1040.000000,0.000000
1,12,2020,12,690.000000,0.000000
1,12,2021,1,1285.000000,0.000000
1,12,2021,2,4459.000000,0.000000
1,12,2021,3,1000.000000,0.000000
1,12,2021,4,2849.000000,0.000000
1,12,2021,5,5536.000000,0.000000
1,12,2022,1,200.000000,0.000000
1,12,2022,6,140.000000,0.000000
1,12,2022,11,500.000000,0.000000
1,12,2023,1,3758.650000,0.000000
1,12,2023,3,595.000000,0.000000
1,12,2023,4,480.000000,0.000000
1,12,2023,5,485.000000,0.000000
1,12,2023,8,1500.000000,0.000000
1,13,2019,2,135.000000,0.000000
1,13,2019,3,135.000000,0.000000
1,13,2019,7,268.000000,0.000000
1,13,2019,9,5.000000,0.000000
1,13,2019,12,77.000000,0.000000
1,13,2020,7,90.000000,0.000000
1,13,2024,7,200.000000,0.000000
1,1,2012,10,0.000000,6149.000000
1,1,2012,11,0.000000,28758.450000
1,1,2012,12,0.000000,40361.020000
1,1,2013,1,0.000000,51371.840000
1,1,2013,2,0.000000,39331.280000
1,1,2013,3,0.000000,32767.580000
1,1,2013,4,0.000000,52880.100000
1,1,2013,5,0.000000,38737.320000
1,1,2013,6,0.000000,42840.440000
1,1,2013,7,0.000000,38497.510000
1,1,2013,8,0.000000,57985.060000
1,1,2013,9,0.000000,37624.100000
1,1,2013,10,0.000000,49327.420000
1,1,2013,11,0.000000,38532.530000
1,1,2013,12,0.000000,49180.410000
1,1,2014,1,0.000000,49069.790000
1,1,2014,2,0.000000,49258.250000
1,1,2014,3,0.000000,41117.420000
1,1,2014,4,0.000000,45597.410000
1,1,2014,5,0.000000,49942.380000
1,1,2014,6,0.000000,42410.880000
1,1,2014,7,0.000000,46337.190000
1,1,2014,8,0.000000,49705.580000
1,1,2014,9,0.000000,59425.890000
1,1,2014,10,0.000000,48889.550000
1,1,2014,11,0.000000,43109.890000
1,1,2014,12,0.000000,65199.330000
1,1,2015,1,0.000000,58183.270000
1,1,2015,2,0.000000,58082.640000
1,1,2015,3,0.000000,55772.760000
1,1,2015,4,0.000000,58392.450000
1,1,2015,5,0.000000,45744.000000
1,1,2015,6,0.000000,63083.810000
1,1,2015,7,0.000000,51362.830000
1,1,2015,8,0.000000,51328.730000
1,1,2015,9,0.000000,51970.720000
1,1,2015,10,0.000000,60453.260000
1,1,2015,11,0.000000,53970.140000
1,1,2015,12,0.000000,65023.160000
1,1,2016,1,0.000000,51647.690000
1,1,2016,2,0.000000,43178.900000
1,1,2016,3,0.000000,60464.170000
1,1,2016,4,0.000000,49426.820000
1,1,2016,5,0.000000,38182.580000
1,1,2016,6,0.000000,52714.310000
1,1,2016,7,0.000000,63145.640000
1,1,2016,8,0.000000,55725.930000
1,1,2016,9,0.000000,45917.660000
1,1,2016,10,0.000000,41169.050000
1,1,2016,11,0.000000,58511.710000
1,1,2016,12,0.000000,52623.790000
1,1,2017,1,0.000000,53737.680000
1,1,2017,2,0.000000,53019.800000
1,1,2017,3,0.000000,66145.820000
1,1,2017,4,0.000000,55788.410000
1,1,2017,5,0.000000,62043.560000
1,1,2017,6,0.000000,62748.870000
1,1,2017,7,0.000000,50569.550000
1,1,2017,8,0.000000,66285.990000
1,1,2017,9,0.000000,82107.010000
1,1,2017,10,0.000000,60999.740000
1,1,2017,11,0.000000,54502.270000
1,1,2017,12,0.000000,91140.420000
1,1,2018,1,0.000000,86544.510000
1,1,2018,2,0.000000,74594.400000
1,1,2018,3,0.000000,54193.360000
1,1,2018,4,0.000000,71265.810000
1,1,2018,5,0.000000,103046.730000
1,1,2018,6,0.000000,85072.650000
1,1,2018,7,0.000000,83995.600000
1,1,2018,8,0.000000,79374.110000
1,1,2018,9,0.000000,55926.200000
1,1,2018,10,0.000000,47272.580000
1,1,2018,11,0.000000,55666.460000
1,1,2018,12,0.000000,62376.030000
1,1,2019,1,0.000000,71032.760000
1,1,2019,2,0.000000,59852.070000
1,1,2019,3,0.000000,45024.240000
1,1,2019,4,0.000000,47664.870000
1,1,2019,5,0.000000,53994.510000
1,1,2019,6,0.000000,41143.140000
1,1,2019,7,0.000000,64060.350000
1,1,2019,8,0.000000,49629.170000
1,1,2019,9,0.000000,40510.170000
1,1,2019,10,0.000000,56077.830000
