branch_code,year,month,total_cost,total_amount,total_profit,count_sales
1,2021,10,105777.100000,222540.870000,116763.770000,273
1,2021,11,91064.660000,207842.766000,116778.106000,281
1,2021,12,92273.150000,196555.870000,104282.720000,285
1,2022,1,101617.950000,207101.170000,105483.220000,273
1,2022,2,94427.500000,211061.120000,116633.620000,266
1,2022,3,106120.280000,239528.560000,133408.280000,289
1,2022,4,107529.730000,234929.720000,127399.990000,283
1,2022,5,105032.290000,237284.920000,132252.630000,346
1,2022,6,115830.980000,255392.820000,139561.840000,313
1,2022,7,121901.210000,255999.930000,134098.720000,305
1,2022,8,146065.530000,308417.400000,162351.870000,354
1,2022,9,132154.230000,278742.920000,146588.690000,320
1,2022,10,127150.130000,270595.990000,143445.860000,263
1,2022,11,139146.390000,300401.960000,161255.570000,318
1,2022,12,145852.090000,315598.760000,169746.670000,364
1,2023,1,152895.440000,330199.020000,177303.580000,319
1,2023,2,140324.080000,294984.390000,154660.310000,324
1,2023,3,178092.030000,383574.050000,205482.020000,388
1,2023,4,158097.030000,337754.480000,179657.450000,329
1,2023,5,170249.380000,365488.390000,195239.010000,319
1,2023,6,153627.640000,327719.560000,174091.920000,303
1,2023,7,122673.670000,277208.350000,154534.680000,281
1,2023,8,138328.560000,310641.210000,172312.650000,297
1,2023,9,143455.850000,317388.300000,173932.450000,316
1,2023,10,126529.430000,285525.120000,158995.690000,329
1,2023,11,140880.290000,312512.310000,171632.020000,343
1,2023,12,197028.820000,414943.450000,217914.630000,368
1,2024,1,155561.730000,346456.430000,190894.700000,365
1,2024,2,145258.760000,322285.390000,177026.630000,296
1,2024,3,151304.140000,350784.810000,199480.670000,345
1,2024,4,164187.790000,387080.130000,222892.340000,382
1,2024,5,194883.110000,436000.350000,241117.240000,361
1,2024,6,155646.470000,368088.850000,212442.380000,345
1,2024,7,168429.300000,378084.860000,209655.560000,331
1,2024,8,161913.930000,367639.090000,205725.160000,382
1,2024,9,153684.970000,340590.290000,186905.320000,324
1,2024,10,145117.050000,330125.860000,185008.810000,294
1,2024,11,148427.580000,339261.770000,190834.190000,303
1,2024,12,178395.360000,404509.730000,226114.370000,349
1,2025,1,198636.670000,441350.940000,242714.270000,327
1,2025,2,158108.300000,360098.730000,201990.430000,328
1,2025,3,175436.890000,405104.280000,229667.390000,324
1,2025,4,145220.790000,336084.540000,190863.750000,309
1,2025,5,136787.260000,326315.220000,189527.960000,316
1,2025,6,126276.550000,302152.660000,175876.110000,299
1,2025,7,149594.710000,343637.180000,194042.470000,322
1,2025,8,163442.130000,376348.100000,212905.970000,297
1,2025,9,141667.580000,323006.010000,181338.430000,291
1,2025,10,199438.390000,425261.090000,225822.700000,355
1,2025,11,135535.940000,325016.270000,189480.330000,326
1,2025,12,168238.570000,378162.650000,209924.080000,326
1,2026,1,126190.160000,303046.430000,176856.270000,285
1,2026,2,137381.860000,328926.700000,191544.840000,291
1,2026,3,183229.330000,449158.470000,265929.140000,346
1,2026,4,212112.980000,483490.430000,271377.450000,325
1,2026,5,84654.860000,231435.830000,146780.970000,238
