branch_code,payment_method_code,date,total_issued,total_paid
1,5,2023-09-25,0.000000,140.000000
1,5,2023-10-20,0.000000,60.000000
1,5,2023-10-24,0.000000,900.000000
1,5,2023-10-25,0.000000,100.000000
1,5,2023-11-01,0.000000,142.880000
1,5,2023-11-03,0.000000,138.000000
1,5,2023-11-07,0.000000,370.000000
1,5,2023-11-22,0.000000,204.000000
1,5,2023-11-29,0.000000,70.000000
1,5,2023-12-04,0.000000,210.000000
1,5,2023-12-08,0.000000,88.930000
1,5,2023-12-15,0.000000,376.140000
1,5,2023-12-18,0.000000,430.000000
1,5,2023-12-21,0.000000,354.590000
1,5,2023-12-27,0.000000,300.000000
1,5,2023-12-29,0.000000,150.000000
1,5,2023-12-31,0.000000,1119.150000
1,5,2024-01-03,0.000000,418.580000
1,5,2024-01-04,0.000000,165.000000
1,5,2024-01-08,0.000000,4739.998000
1,5,2024-01-09,0.000000,27.200000
1,5,2024-01-10,0.000000,740.000000
1,5,2024-01-11,0.000000,28.000000
1,5,2024-01-12,0.000000,2400.000000
1,5,2024-01-22,0.000000,28.000000
1,5,2024-01-26,0.000000,90.000000
1,5,2024-02-19,0.000000,81.540000
1,5,2024-03-04,0.000000,664.000000
1,5,2024-03-08,0.000000,287.000000
1,5,2024-03-14,0.000000,786.500000
1,5,2024-04-16,0.000000,29.760000
1,5,2024-04-22,0.000000,3174.400000
1,5,2024-05-06,0.000000,236.070000
1,5,2024-05-07,0.000000,317.440000
1,5,2024-05-13,0.000000,267.840000
1,5,2024-05-14,0.000000,297.000000
1,5,2024-05-24,0.000000,59.520000
1,5,2024-06-03,0.000000,153.640000
1,5,2024-06-06,0.000000,94.440000
1,5,2024-06-13,0.000000,3754.400000
1,5,2024-06-17,0.000000,108.130000
1,5,2024-06-24,0.000000,277.760000
1,5,2024-06-27,0.000000,1577.280000
1,5,2024-07-03,0.000000,296.000000
1,5,2024-07-05,0.000000,257.920000
1,5,2024-07-08,0.000000,28.760000
1,5,2024-07-09,0.000000,27.780000
1,5,2024-07-10,0.000000,714.240000
1,5,2024-07-11,0.000000,279.000000
1,5,2024-07-23,0.000000,23.810000
1,5,2024-07-24,0.000000,59.520000
1,5,2024-08-02,0.000000,470.000000
1,5,2024-08-06,0.000000,2132.800000
1,5,2024-08-07,0.000000,250.880000
1,5,2024-08-13,0.000000,374.980000
1,5,2024-08-16,0.000000,1317.770000
1,5,2024-08-19,0.000000,77.380000
1,5,2024-08-21,0.000000,50.360000
1,5,2024-08-22,0.000000,49.600000
1,5,2024-08-23,0.000000,842.700000
1,5,2024-08-30,0.000000,396.800000
1,5,2024-08-31,0.000000,200.000000
1,5,2024-09-03,0.000000,654.640000
1,5,2024-09-05,0.000000,272.800000
1,5,2024-09-10,0.000000,732.100000
1,5,2024-09-11,0.000000,694.400000
1,5,2024-09-16,0.000000,4051.720000
1,5,2024-09-17,0.000000,1300.000000
1,5,2024-09-18,0.000000,47.620000
1,5,2024-09-26,0.000000,2044.820000
1,5,2024-09-27,0.000000,190.460000
1,5,2024-10-02,0.000000,168.640000
1,5,2024-10-03,0.000000,325.380000
1,5,2024-10-04,0.000000,788.640000
1,5,2024-10-07,0.000000,515.840000
1,5,2024-10-14,0.000000,921.130000
1,5,2024-10-17,0.000000,80.350000
1,5,2024-10-30,0.000000,423.040000
1,5,2024-11-01,0.000000,694.400000
1,5,2024-11-05,0.000000,839.480000
1,5,2024-11-07,0.000000,357.120000
1,5,2024-11-08,0.000000,1014.780000
1,5,2024-11-11,0.000000,9.920000
1,5,2024-11-22,0.000000,128.960000
1,5,2024-11-28,0.000000,244.030000
1,5,2024-12-02,0.000000,126.980000
1,5,2024-12-03,0.000000,69.440000
1,5,2024-12-11,0.000000,133.920000
1,5,2024-12-12,0.000000,49.600000
1,5,2024-12-17,0.000000,99.200000
1,5,2024-12-18,0.000000,180.540000
1,5,2024-12-19,0.000000,562.660000
1,5,2025-01-03,0.000000,214.270000
1,5,2025-01-08,0.000000,940.420000
1,5,2025-01-16,0.000000,54.370000
1,5,2025-01-20,0.000000,35.710000
1,5,2025-01-28,0.000000,66.620000
1,5,2025-01-29,0.000000,47.620000
1,5,2025-01-30,0.000000,438.020000
1,5,2025-02-03,0.000000,28.550000
1,5,2025-02-06,0.000000,1497.920000
1,5,2025-02-11,0.000000,621.390000
1,5,2025-02-18,0.000000,97.220000
1,5,2025-02-20,0.000000,79.360000
1,5,2025-02-21,0.000000,173.600000
1,5,2025-02-28,0.000000,664.640000
1,5,2025-03-11,0.000000,62.650000
1,5,2025-03-14,0.000000,34.720000
1,5,2025-03-17,0.000000,40.790000
1,5,2025-03-19,0.000000,806.170000
1,5,2025-03-31,0.000000,880.790000
1,5,2025-04-03,0.000000,347.200000
1,5,2025-04-07,0.000000,50.000000
1,5,2025-04-08,0.000000,1180.480000
1,5,2025-04-22,0.000000,166.040000
1,5,2025-04-23,0.000000,347.200000
1,5,2025-04-30,0.000000,198.400000
1,5,2025-05-06,0.000000,51.490000
1,5,2025-05-12,0.000000,243.160000
1,5,2025-05-16,0.000000,135.560000
1,5,2025-05-22,0.000000,558.420000
1,5,2025-05-23,0.000000,1366.340000
1,5,2025-05-26,0.000000,219.800000
1,5,2025-05-29,0.000000,71.290000
1,5,2025-06-03,0.000000,23.760000
1,5,2025-06-05,0.000000,8.350000
1,5,2025-06-11,0.000000,490.630000
1,5,2025-06-16,0.000000,35.640000
1,5,2025-06-27,0.000000,93.570000
1,5,2025-07-02,0.000000,155.450000
1,5,2025-07-04,0.000000,43.560000
1,5,2025-07-14,0.000000,207.920000
1,5,2025-08-07,0.000000,118.680000
1,5,2025-08-18,0.000000,360.980000
1,5,2025-08-20,0.000000,49.950000
1,5,2025-09-01,0.000000,311.340000
1,5,2025-09-12,0.000000,186.200000
1,5,2025-09-15,0.000000,153.480000
1,5,2025-09-18,0.000000,206.700000
1,5,2025-09-19,0.000000,75.160000
1,5,2025-10-01,0.000000,365.730000
1,5,2025-10-14,0.000000,14.830000
1,5,2025-10-22,0.000000,49.250000
1,5,2025-10-23,0.000000,296.700000
1,5,2025-10-27,0.000000,187.910000
1,5,2025-11-04,0.000000,1374.110000
1,5,2025-11-11,0.000000,356.040000
1,5,2025-11-13,0.000000,9.890000
1,5,2025-11-17,0.000000,213.600000
1,5,2025-11-18,0.000000,178.020000
1,5,2025-12-03,0.000000,921.730000
1,5,2025-12-04,0.000000,166.150000
1,5,2025-12-15,0.000000,82.090000
1,5,2025-12-17,0.000000,396.600000
1,5,2025-12-22,0.000000,280.990000
1,5,2025-12-29,0.000000,296.700000
1,5,2026-01-05,0.000000,148.350000
1,5,2026-01-06,0.000000,692.300000
