branch_code,year,month,total_cost,total_amount,total_profit,count_sales
1,2015,10,42044.330000,111101.950000,69057.620000,75
1,2015,11,26646.320000,83624.510000,56978.190000,92
1,2015,12,47017.380000,127294.300000,80276.920000,97
1,2016,1,70777.990000,167957.930000,97179.940000,97
1,2016,2,39752.280000,118028.980000,78276.700000,101
1,2016,3,48596.250000,112997.870000,64401.620000,81
1,2016,4,28834.700000,90968.540000,62133.840000,66
1,2016,5,29995.620000,98786.260000,68790.640000,88
1,2016,6,30525.530000,97084.770000,66559.240000,67
1,2016,7,46434.840000,141511.160000,95076.320000,83
1,2016,8,36649.370000,109640.930000,72991.560000,81
1,2016,9,36320.790000,104589.293000,68268.503000,80
1,2016,10,25967.140000,72048.510000,46081.370000,75
1,2016,11,57615.710000,137794.462000,80178.752000,70
1,2016,12,32058.190000,93953.010000,61894.820000,87
1,2017,1,45123.120000,129158.040000,84034.920000,69
1,2017,2,33970.260000,92296.680000,58326.420000,93
1,2017,3,46204.620000,136081.130000,89876.510000,82
1,2017,4,57295.250000,162146.477000,104851.227000,70
1,2017,5,58471.270000,156304.580000,97833.310000,113
1,2017,6,46374.920000,119716.980000,73342.060000,75
1,2017,7,42445.030000,119255.220000,76810.190000,93
1,2017,8,39015.100000,108107.670000,69092.570000,79
1,2017,9,47440.570000,116622.120000,69181.550000,64
1,2017,10,33305.120000,120431.980000,87126.860000,69
1,2017,11,40283.120000,121919.790000,81636.670000,96
1,2017,12,38798.980000,108151.200000,69352.220000,82
1,2018,1,47720.010000,117783.220000,70063.210000,110
1,2018,2,31634.090000,86743.944000,55109.854000,73
1,2018,3,60801.680000,158837.720000,98036.040000,76
1,2018,4,44859.620000,112537.190000,67677.570000,94
1,2018,5,62162.620000,156613.430000,94450.810000,116
1,2018,6,50343.550000,136081.180000,85737.630000,105
1,2018,7,57732.330000,153099.210000,95366.880000,104
1,2018,8,31369.560000,102811.780000,71442.220000,102
1,2018,9,66125.060000,172770.220000,106645.160000,120
1,2018,10,75922.360000,200989.930000,125067.570000,91
1,2018,11,59090.640000,166717.090000,107626.450000,107
1,2018,12,61010.760000,164930.600000,103919.840000,144
1,2019,1,54746.100000,146334.220000,91588.120000,103
1,2019,2,43324.900000,124063.190000,80738.290000,100
1,2019,3,26403.210000,85356.060000,58952.850000,101
1,2019,4,36533.360000,118545.830000,82012.470000,120
1,2019,5,68720.540000,175803.350000,107082.810000,114
1,2019,6,76765.780000,208281.710000,131515.930000,139
1,2019,7,57110.940000,145495.172000,88384.232000,167
1,2019,8,79242.000000,201487.290000,122245.290000,231
1,2019,9,84522.650000,221142.010000,136619.360000,155
1,2019,10,58077.300000,179675.065000,121597.765000,205
1,2019,11,45337.990000,117714.550000,72376.560000,138
1,2019,12,0.000000,80.000000,80.000000,1
1,2020,7,60310.200000,151389.040000,91078.840000,107
1,2020,8,51158.510000,144841.520000,93683.010000,166
1,2020,9,82051.190000,207762.388000,125711.198000,205
1,2020,10,90553.000000,222439.032500,131886.032500,223
1,2020,11,105534.970000,270800.260000,165265.290000,164
1,2020,12,92093.890000,247228.280000,155134.390000,172
1,2021,1,110476.650000,269984.827000,159508.177000,191
1,2021,2,98864.660000,237847.390000,138982.730000,164
1,2021,3,87092.720000,237158.789900,150066.069900,200
1,2021,4,97913.950000,245522.428000,147608.478000,162
1,2021,5,131589.970000,314128.728000,182538.758000,222
1,2021,6,99180.310000,252804.700000,153624.390000,196
1,2021,7,110848.470000,321926.700000,211078.230000,231
1,2021,8,113505.110000,286759.248900,173254.138900,152
1,2021,9,105916.020000,266259.628000,160343.608000,207
1,2021,10,94561.210000,264946.288000,170385.078000,141
1,2021,11,118040.880000,315685.820000,197644.940000,155
1,2021,12,102911.850000,280767.830000,177855.980000,162
1,2022,1,93049.830000,262578.147000,169528.317000,171
1,2022,2,100683.340000,265124.190000,164440.850000,188
1,2022,3,189810.810000,343099.570000,153288.760000,192
1,2022,4,93760.900000,258028.330000,164267.430000,180
1,2022,5,69935.920000,225338.640000,155402.720000,189
1,2022,6,119148.940000,339201.770000,220052.830000,179
1,2022,7,103987.980000,266451.555000,162463.575000,197
1,2022,8,117592.850000,292980.560000,175387.710000,172
1,2022,9,127258.890000,341812.230000,214553.340000,198
1,2022,10,134846.180000,374541.501000,239695.321000,169
1,2022,11,96914.100000,264601.590000,167687.490000,188
1,2022,12,115383.340000,302938.960800,187555.620800,180
1,2023,1,88886.380000,261806.520000,172920.140000,152
1,2023,2,111187.950000,289133.310000,177945.360000,146
1,2023,3,139897.340000,321332.163000,181434.823000,194
1,2023,4,140529.030000,380654.585000,240125.555000,166
1,2023,5,112328.080000,317990.420000,205662.340000,204
1,2023,6,105096.720000,293230.368000,188133.648000,179
1,2023,7,149346.340000,404472.844000,255126.504000,219
1,2023,8,156568.810000,409685.129200,253116.319200,183
1,2023,9,114758.640000,293657.836000,178899.196000,195
1,2023,10,105798.060000,314450.306500,208652.246500,176
1,2023,11,99637.810000,308932.117000,209294.307000,167
1,2023,12,83185.720000,241126.880000,157941.160000,186
1,2024,1,98525.660000,293615.458200,195089.798200,159
1,2024,2,95322.100000,283616.060000,188293.960000,160
1,2024,3,100483.020000,326680.060000,226197.040000,150
1,2024,4,105555.140000,298486.606000,192931.466000,148
1,2024,5,102386.860000,273516.230000,171129.370000,172
1,2024,6,91029.430000,250698.540000,159669.110000,165
1,2024,7,121397.560000,336177.080000,214779.520000,206
1,2024,8,103880.860000,285375.240000,181494.380000,189
1,2024,9,91545.890000,239935.042000,148389.152000,188
1,2024,10,134619.730000,364501.910000,229882.180000,184
1,2024,11,107671.930000,298161.089600,190489.159600,224
1,2024,12,109366.150000,275040.810000,165674.660000,194
1,2025,1,115965.120000,309507.100000,193541.980000,172
1,2025,2,81298.080000,227941.130000,146643.050000,202
1,2025,3,112444.550000,292928.520600,180483.970600,168
1,2025,4,118073.870000,322327.307000,204253.437000,154
1,2025,5,133845.130000,352875.090000,219029.960000,187
1,2025,6,135413.100000,365787.790000,230374.690000,200
1,2025,7,124271.570000,325840.730000,201569.160000,200
1,2025,8,121661.830000,325054.770000,203392.940000,165
1,2025,9,122176.780000,286784.829200,164608.049200,184
1,2025,10,106604.310000,355104.410000,248500.100000,184
1,2025,11,93773.550000,256412.390000,162638.840000,159
1,2025,12,85657.380000,232666.030000,147008.650000,166
1,2026,1,108245.820000,333633.504100,225387.684100,149
1,2026,2,82379.950000,238016.730000,155636.780000,150
1,2026,3,91183.490000,281215.662000,190032.172000,175
1,2026,4,92467.960000,307906.265000,215438.305000,187
1,2026,5,70330.050000,198600.737400,128270.687400,97
